power_limit_w,pstate,clk_graphics_mhz,clk_sm_mhz,clk_mem_mhz,power_draw_w,temp_c,gflops
300W,P0,1395,1395,12481,300.1,45.5,123371
350W,P0,1611,1611,12481,343.3,57.4,133575
400W,P0,1699,1699,12481,400.2,66.0,143211
450W,P0,1896,1896,12481,442.7,73.4,150458
500W,P0,1880,1880,12481,499.0,80.4,156755
550W,P0,1790,1790,12481,486.0,84.7,147819
600W,P0,1739,1739,12481,447.3,84.8,144190
